day_name,day_of_week,total_revenue,total_items,order_count,distinct_dates,avg_daily_revenue,avg_daily_orders,revenue_share_pct
Saturday,5,3748894.05,234192,16111,52,72094.12,309.8,17.87
Sunday,6,3728741.18,233188,16065,52,71706.56,308.9,17.77
Friday,4,3700812.27,231259,15995,52,71169.47,307.6,17.64
Thursday,3,2649952.74,165628,11447,52,50960.63,220.1,12.63
Monday,0,2620422.43,163646,11288,52,50392.74,217.1,12.49
Tuesday,1,2248685.42,139865,9655,52,43243.95,185.7,10.72
Wednesday,2,2284690.69,143130,9903,53,43107.37,186.8,10.89
