category,recommendation_count,total_potential_business_impact,avg_potential_business_impact,critical_priority_count,high_priority_count,medium_priority_count,low_priority_count
Bundle frequently purchased items,8,111678.75,13959.84,0,0,8,0
Increase stock before predicted peak periods,2,159006.62,79503.31,1,0,0,1
Investigate anomalous locations,4,428183.42,107045.86,4,0,0,0
Promote high-margin Hidden Opportunities,9,178596.89,19844.1,0,1,8,0
Reduce preparation quantity of high-wastage dishes,10,361748.38,36174.84,7,0,3,0
Remove or redesign persistent Low Performers,8,688328.18,86041.02,3,5,0,0
Review ineffective promotions,6,700000.0,116666.67,4,2,0,0
Review pricing of price-sensitive dishes,8,195714.3,24464.29,0,0,8,0
Target selected customer segments,2,842395.31,421197.66,2,0,0,0
